,sources,targets,q_total,IndexAvg,weights
311,Brazil,Plurinational State of Bolivia,0.782,-0.03,13792.235999999999
312,Canada,Plurinational State of Bolivia,0.23199999999999998,1.62,17531.729000000003
313,China,Plurinational State of Bolivia,30.259,-0.49,411379.754
314,Denmark,Plurinational State of Bolivia,0.01,1.78,7989.049999999999
315,"France, Monaco",Plurinational State of Bolivia,0.163,1.19,14637.760999999999
316,Germany,Plurinational State of Bolivia,0.154,1.49,23017.288
317,"China, Hong Kong Special Administrative Region",Plurinational State of Bolivia,0.28400000000000003,1.35,99971.2
318,Indonesia,Plurinational State of Bolivia,0.046,-0.49,25303.601000000002
319,Israel,Plurinational State of Bolivia,0.005,0.63,6832.461
320,Italy,Plurinational State of Bolivia,0.02,0.63,9579.352
321,Japan,Plurinational State of Bolivia,1.4969999999999999,1.23,69993.533
322,Democratic People's Republic of Korea,Plurinational State of Bolivia,0.014,-1.54,0.091
323,Republic of Korea,Plurinational State of Bolivia,0.23399999999999999,0.75,28784.924
324,Malaysia,Plurinational State of Bolivia,0.145,0.36,23304.784
325,Mali,Plurinational State of Bolivia,0.009,-0.54,98.684
326,Mexico,Plurinational State of Bolivia,0.15,-0.17,19859.502
327,"Other Asia, not elsewhere specified",Plurinational State of Bolivia,0.06,,13215.868999999999
328,New Zealand,Plurinational State of Bolivia,0.005,1.78,474.91700000000003
329,Paraguay,Plurinational State of Bolivia,0.046,-0.65,81.43400000000001
330,Peru,Plurinational State of Bolivia,0.009000000000000001,-0.25,201.284
331,Poland,Plurinational State of Bolivia,0.017,0.71,21556.831
332,Romania,Plurinational State of Bolivia,0.011,0.11,5213.838
333,India,Plurinational State of Bolivia,0.011,-0.23,12479.099999999999
334,Singapore,Plurinational State of Bolivia,0.022,1.52,57683.688
335,Viet Nam,Plurinational State of Bolivia,1.629,-0.48,5188.044
336,Spain,Plurinational State of Bolivia,0.01,0.95,7276.441000000001
337,"Switzerland, Liechtenstein",Plurinational State of Bolivia,0.002,1.75,3995.692
338,"Switzerland, Liechtenstein",Plurinational State of Bolivia,0.002,1.54,3995.692
339,Thailand,Plurinational State of Bolivia,0.093,-0.14,5499.867
340,United Kingdom,Plurinational State of Bolivia,0.23800000000000002,1.46,34960.074
341,Austria,Bosnia Herzegovina,3.766,1.55,3394.051
342,Belgium,Bosnia Herzegovina,0.182,1.31,12239.12
343,Bulgaria,Bosnia Herzegovina,0.13,0.18,1117.8220000000001
344,China,Bosnia Herzegovina,31.186999999999998,-0.49,411379.754
345,Croatia,Bosnia Herzegovina,1.051,0.34,252.433
346,Czechia,Bosnia Herzegovina,0.129,0.9,4658.562
347,Denmark,Bosnia Herzegovina,0.144,1.78,7989.049999999999
348,"France, Monaco",Bosnia Herzegovina,0.14700000000000002,1.19,14637.760999999999
349,Germany,Bosnia Herzegovina,2.122,1.49,23017.288
350,"China, Hong Kong Special Administrative Region",Bosnia Herzegovina,0.47800000000000004,1.35,99971.2
351,Hungary,Bosnia Herzegovina,3.877,0.75,2429.925
352,Indonesia,Bosnia Herzegovina,3.115,-0.49,25303.601000000002
353,Italy,Bosnia Herzegovina,4.304,0.63,9579.352
354,Japan,Bosnia Herzegovina,3.3120000000000003,1.23,69993.533
355,Republic of Korea,Bosnia Herzegovina,0.16,0.75,28784.924
356,"Other Asia, not elsewhere specified",Bosnia Herzegovina,0.227,,13215.868999999999
